scene,view,none,inpaint_pred,inpaint_err,none_mask,inpaint_pred_mask,inpaint_err_mask
101,0,24.088836307176177,23.53998031731118,25.38734634547776,22.485758342814957,22.12715625691297,24.354078091840222
101,1,24.76973325024325,23.926008955947484,26.091260832312187,23.49238249006282,22.928150169191852,25.281497099449098
101,2,25.522892617693635,24.68922459440282,26.720498740683656,24.456930512855358,23.875068143134726,26.022616348179287
101,3,26.573532212133752,25.107866278698104,27.707109460168404,25.69501299394765,24.61292370362607,26.907157650853524
101,4,27.892639684801498,26.165109157581927,28.98965702939813,27.046165064847244,26.132837127157988,28.039104664465036
101,5,29.55012586050962,27.255429105798115,30.442266745935996,28.57646531506756,27.31952033808817,29.221418411236684
101,6,32.25546095300974,29.25491330467768,32.70367460193852,30.44783401425857,28.931693168894732,30.91657256128478
101,7,33.30977850559722,31.86187553828742,33.534429446371774,31.71745166754925,30.106508791361218,31.902624115611488
101,8,30.919815260703793,30.216758481246437,31.500869919393665,30.17726144682681,28.817191062358685,30.74248531393417
101,9,29.357505767281534,28.960801266707882,30.165793826491978,28.958567512946153,27.62870465079468,29.632345918550143
101,10,28.175385601584395,27.926312478842657,29.243517279186495,27.860237493956458,26.976167716270854,28.867662899410703
101,11,27.227112516142007,27.12801119476935,28.4345596818792,26.98185266324402,26.206704459285586,28.00880441779018
101,12,26.400999712592018,26.389856593831517,27.81313176144333,26.134016880517397,25.489114198281733,27.503805134372513
101,13,25.646993592316242,25.708828921617982,27.170261931572508,25.646993592316242,25.708828921617982,27.170261931572508
102,0,27.749103156181004,29.11593368152979,30.752218288172877,27.565280158784432,26.881071600845004,29.1460596559944
102,1,28.717585707311603,29.65412821412083,31.220390272738335,28.61096129091557,27.85377486108728,29.939498132156533
102,2,29.749910848103497,30.317097423385675,31.683148957973103,29.648723216007177,28.807520988542382,30.785400606426162
102,3,30.5918203485645,30.921066703710885,32.25731826496094,30.83750756848611,29.462350889285872,31.847546599765604
102,4,31.54724442969304,31.439178803146675,32.85639459072002,32.26038520539532,30.699725621298676,33.05920020581485
102,5,32.73985238924599,32.215448100638056,33.774445810158504,33.46799431280257,30.921014513988013,34.21201734589051
102,6,35.365936212071006,33.854106683717916,35.88557848531344,35.94970092197704,32.155543967742574,36.175953374283274
102,7,35.04104362575723,33.1991193178821,35.462116086547226,33.87448427226143,30.74042321781185,34.26326189561748
102,8,31.52645533660412,30.30264338028964,32.55726211193122,30.605190221694514,28.70700117279528,31.949107839615017
102,9,29.583122475531283,28.94714694535783,30.7895108331276,28.624958699471115,27.397705469605967,30.435282331952017
102,10,27.777477882397722,27.37683458338523,28.96877559151506,27.215974363775054,26.529191555857228,29.41113278785389
102,11,26.18313378552586,26.043019616239896,27.560028767094007,26.21371149756221,25.70105578918261,28.378909944455962
102,12,24.88410311056714,24.832289216336516,26.697361804809745,25.41579069620798,25.111201301221413,27.620347350416917
102,13,23.79498128702318,24.233402265069437,25.676415113483948,23.79498128702318,24.233402265069437,25.676415113483948
103,0,23.882387250759667,23.30557537474562,24.718816450669184,21.843439025407577,19.079927519019225,22.585362763399853
103,1,24.496445685334184,23.783785789182552,25.261580147536336,22.543603781536554,19.828260129038718,23.05772389509344
103,2,25.266891522774163,24.218040383345286,25.96563623224735,23.372097584665333,20.049615017425797,23.635748425981483
103,3,26.256693569795864,24.94810977940518,26.662986475142706,24.219962125007154,20.960697140986674,24.601331275867647
103,4,27.374313790620747,25.889114685731542,27.88857744817973,25.066606479952014,21.32164571360419,25.569263976765185
103,5,28.873844745861007,27.679244133722957,29.11773322962445,26.08406263382182,22.008102850494716,26.78574347705417
103,6,33.683334709322686,31.604367068015506,34.06852908639883,27.75483950681693,23.525686329050146,28.18299781789491
103,7,34.792984747358226,32.4261409952697,35.092606174388536,26.694709974717004,22.972461933083817,26.775800256767262
103,8,32.16939914665137,30.757881038954192,32.578481518121315,25.248971371239367,22.075044534376318,25.46084131843232
103,9,30.134100045631786,28.976180217912262,30.716182205341696,24.077919033249273,21.344896267446437,24.243802566971357
103,10,28.520459302286692,27.557139835504362,29.344666698976862,23.170601835596976,20.803331058143215,23.277281757701832
103,11,27.270840348939366,26.851722306611244,28.28644326505598,22.3730290105178,20.57217582274528,22.83978221155643
103,12,26.26309058514879,26.051674988675817,27.612706332413044,21.608211633927176,20.08553704890023,22.17959354017068
103,13,25.22887201715298,25.052757311440583,26.780699637105787,25.22887201715298,25.052757311440583,26.780699637105787
104,0,22.119182819390225,21.966471937635053,22.34611564537075,20.791646243383006,20.241230439497198,21.116308084511456
104,1,22.806372719778693,22.67015807188708,23.054525767689057,21.2678972998239,20.67900955965382,21.656410166330335
104,2,23.414249182599754,23.20214103542275,23.665343515520505,21.946871593371387,21.347614664256056,22.114320083765268
104,3,23.88342911180052,23.533773664895257,24.061446921220163,22.565902106662055,22.16257824896488,22.837363956340404
